program_id,category,category_ordinal,scenario_count
BR-001,Branched,1,4
BR-002,Branched,2,4
BR-003,Branched,3,4
BR-004,Branched,4,4
BR-005,Branched,5,4
BR-006,Branched,6,4
BR-007,Branched,7,4
BR-008,Branched,8,4
BR-009,Branched,9,4
BR-010,Branched,10,4
BR-011,Branched,11,4
BR-012,Branched,12,4
BR-013,Branched,13,4
BR-014,Branched,14,4
BR-015,Branched,15,4
BR-016,Branched,16,4
BR-017,Branched,17,4
BR-018,Branched,18,4
BR-019,Branched,19,4
BR-020,Branched,20,4
BR-021,Branched,21,4
BR-022,Branched,22,4
BR-023,Branched,23,4
BR-024,Branched,24,4
BR-025,Branched,25,4
BR-026,Branched,26,4
BR-027,Branched,27,4
BR-028,Branched,28,4
BR-029,Branched,29,4
BR-030,Branched,30,4
BR-031,Branched,31,4
BR-032,Branched,32,4
BR-033,Branched,33,4
BR-034,Branched,34,4
BR-035,Branched,35,4
BR-036,Branched,36,4
BR-037,Branched,37,4
BR-038,Branched,38,4
BR-039,Branched,39,4
BR-040,Branched,40,3
BR-041,Branched,41,3
BR-042,Branched,42,3
BR-043,Branched,43,3
BR-044,Branched,44,3
BR-045,Branched,45,3
BR-046,Branched,46,3
BR-047,Branched,47,3
BR-048,Branched,48,3
BR-049,Branched,49,3
BR-050,Branched,50,3
BR-051,Branched,51,3
BR-052,Branched,52,3
BR-053,Branched,53,3
BR-054,Branched,54,3
BR-055,Branched,55,3
BR-056,Branched,56,3
BR-057,Branched,57,3
BR-058,Branched,58,3
BR-059,Branched,59,3
BR-060,Branched,60,3
BR-061,Branched,61,3
BR-062,Branched,62,3
BR-063,Branched,63,3
BR-064,Branched,64,3
BR-065,Branched,65,3
BR-066,Branched,66,3
BR-067,Branched,67,3
BR-068,Branched,68,3
BR-069,Branched,69,3
BR-070,Branched,70,3
BR-071,Branched,71,3
BR-072,Branched,72,3
BR-073,Branched,73,3
BR-074,Branched,74,3
BR-075,Branched,75,3
BR-076,Branched,76,3
BR-077,Branched,77,3
BR-078,Branched,78,3
BR-079,Branched,79,3
BR-080,Branched,80,3
BR-081,Branched,81,3
BR-082,Branched,82,3
BR-083,Branched,83,3
BR-084,Branched,84,3
BR-085,Branched,85,3
BR-086,Branched,86,3
BR-087,Branched,87,3
BR-088,Branched,88,3
BR-089,Branched,89,3
BR-090,Branched,90,3
BR-091,Branched,91,3
BR-092,Branched,92,3
BR-093,Branched,93,3
BR-094,Branched,94,3
BR-095,Branched,95,3
BR-096,Branched,96,3
BR-097,Branched,97,3
BR-098,Branched,98,3
BR-099,Branched,99,3
BR-100,Branched,100,3
SQ-001,Sequential,1,3
SQ-002,Sequential,2,3
SQ-003,Sequential,3,3
SQ-004,Sequential,4,3
SQ-005,Sequential,5,3
SQ-006,Sequential,6,3
SQ-007,Sequential,7,3
SQ-008,Sequential,8,3
SQ-009,Sequential,9,3
SQ-010,Sequential,10,3
SQ-011,Sequential,11,3
SQ-012,Sequential,12,2
SQ-013,Sequential,13,2
SQ-014,Sequential,14,2
SQ-015,Sequential,15,2
