task_id,program_id,category,repetition,original_dynamic_ms,slice_dynamic_ms,dynamic_ratio,original_path_derivation_ms,slice_path_derivation_ms,path_derivation_ratio,original_smt_ms,slice_smt_ms,smt_ratio,original_other_ms,slice_slicing_ms,slice_other_ms,original_total_ms,slice_total_ms,total_ratio
BR-001-T01,BR-001,Branched,1,42,27.006,0.643,55,39.820487,0.724009,38,24.890673,0.655018,47.25,4.55625,29.472639,182.25,125.746049,0.689965
BR-001-T01,BR-001,Branched,2,43.68,28.08624,0.643,57.2,41.413306,0.724009,39.52,25.886299,0.655018,49.14,4.7385,30.651545,189.54,130.775891,0.689965
BR-001-T01,BR-001,Branched,3,41.58,26.73594,0.643,54.45,39.422282,0.724009,37.62,24.641766,0.655018,46.7775,4.510688,29.177913,180.4275,124.488588,0.689965
BR-001-T01,BR-001,Branched,4,43.26,27.81618,0.643,56.65,41.015101,0.724009,39.14,25.637393,0.655018,48.6675,4.692938,30.356819,187.7175,129.51843,0.689965
BR-001-T01,BR-001,Branched,5,41.16,26.46588,0.643,53.9,39.024077,0.724009,37.24,24.392859,0.655018,46.305,4.465125,28.883187,178.605,123.231128,0.689965
BR-001-T01,BR-001,Branched,6,42.84,27.54612,0.643,56.1,40.616896,0.724009,38.76,25.388486,0.655018,48.195,4.647375,30.062092,185.895,128.26097,0.689965
BR-001-T01,BR-001,Branched,7,40.74,26.19582,0.643,53.35,38.625872,0.724009,36.86,24.143952,0.655018,45.8325,4.419562,28.58846,176.7825,121.973667,0.689965
BR-001-T01,BR-001,Branched,8,42.42,27.27606,0.643,55.55,40.218692,0.724009,38.38,25.139579,0.655018,47.7225,4.601812,29.767366,184.0725,127.003509,0.689965
BR-001-T01,BR-001,Branched,9,40.32,25.92576,0.643,52.8,38.227667,0.724009,36.48,23.895046,0.655018,45.36,4.374,28.293734,174.96,120.716207,0.689965
BR-001-T01,BR-001,Branched,10,42,27.006,0.643,55,39.820487,0.724009,38,24.890673,0.655018,47.25,4.55625,29.472639,182.25,125.746049,0.689965
BR-001-T02,BR-001,Branched,1,62.83,41.4678,0.66,80.34,57.845511,0.720009,69.01,44.926731,0.651018,74.263,7.161075,45.088641,286.443,196.489758,0.685965
BR-001-T02,BR-001,Branched,2,59.78,39.4548,0.66,76.44,55.037476,0.720009,65.66,42.745822,0.651018,70.658,6.81345,42.899872,272.538,186.951421,0.685965
BR-001-T02,BR-001,Branched,3,62.22,41.0652,0.66,79.56,57.283904,0.720009,68.34,44.49055,0.651018,73.542,7.09155,44.650887,283.662,194.582091,0.685965
BR-001-T02,BR-001,Branched,4,59.17,39.0522,0.66,75.66,54.47587,0.720009,64.99,42.30964,0.651018,69.937,6.743925,42.462118,269.757,185.043753,0.685965
BR-001-T02,BR-001,Branched,5,61.61,40.6626,0.66,78.78,56.722297,0.720009,67.67,44.054368,0.651018,72.821,7.022025,44.213133,280.881,192.674423,0.685965
BR-001-T02,BR-001,Branched,6,58.56,38.6496,0.66,74.88,53.914263,0.720009,64.32,41.873458,0.651018,69.216,6.6744,42.024364,266.976,183.136086,0.685965
BR-001-T02,BR-001,Branched,7,61,40.26,0.66,78,56.16069,0.720009,67,43.618186,0.651018,72.1,6.9525,43.77538,278.1,190.766756,0.685965
BR-001-T02,BR-001,Branched,8,63.44,41.8704,0.66,81.12,58.407118,0.720009,69.68,45.362913,0.651018,74.984,7.2306,45.526395,289.224,198.397426,0.685965
BR-001-T02,BR-001,Branched,9,60.39,39.8574,0.66,77.22,55.599083,0.720009,66.33,43.182004,0.651018,71.379,6.882975,43.337626,275.319,188.859088,0.685965
BR-001-T02,BR-001,Branched,10,62.83,41.4678,0.66,80.34,57.845511,0.720009,69.01,44.926731,0.651018,74.263,7.161075,45.088641,286.443,196.489758,0.685965
BR-001-T03,BR-001,Branched,1,77.6,50.9056,0.656,97.97,70.147387,0.716009,93.12,62.205808,0.668018,94.0415,9.068288,55.04296,362.7315,247.370043,0.681965
BR-001-T03,BR-001,Branched,2,80.8,53.0048,0.656,102.01,73.040063,0.716009,96.96,64.770996,0.668018,97.9195,9.442238,57.312773,377.6895,257.570869,0.681965
BR-001-T03,BR-001,Branched,3,76.8,50.3808,0.656,96.96,69.424218,0.716009,92.16,61.564511,0.668018,93.072,8.9748,54.475507,358.992,244.819836,0.681965
