task_id,program_id,category,original_availability,slice_availability,original_soundness,slice_soundness,original_completeness,slice_completeness,soundness_agreement,completeness_agreement,inconclusive_reason
BR-001-T01,BR-001,Branched,DEFINITE,DEFINITE,UNSOUND,UNSOUND,INCOMPLETE,INCOMPLETE,TRUE,TRUE,
BR-001-T02,BR-001,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-001-T03,BR-001,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-001-T04,BR-001,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-002-T01,BR-002,Branched,DEFINITE,DEFINITE,UNSOUND,UNSOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-002-T02,BR-002,Branched,DEFINITE,DEFINITE,SOUND,SOUND,INCOMPLETE,INCOMPLETE,TRUE,TRUE,
BR-002-T03,BR-002,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-002-T04,BR-002,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-003-T01,BR-003,Branched,DEFINITE,DEFINITE,UNSOUND,UNSOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-003-T02,BR-003,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-003-T03,BR-003,Branched,DEFINITE,DEFINITE,SOUND,SOUND,INCOMPLETE,INCOMPLETE,TRUE,TRUE,
BR-003-T04,BR-003,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-004-T01,BR-004,Branched,DEFINITE,DEFINITE,UNSOUND,UNSOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-004-T02,BR-004,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-004-T03,BR-004,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-004-T04,BR-004,Branched,DEFINITE,DEFINITE,SOUND,SOUND,INCOMPLETE,INCOMPLETE,TRUE,TRUE,
BR-005-T01,BR-005,Branched,DEFINITE,DEFINITE,UNSOUND,UNSOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-005-T02,BR-005,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-005-T03,BR-005,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-005-T04,BR-005,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-006-T01,BR-006,Branched,DEFINITE,DEFINITE,UNSOUND,UNSOUND,INCOMPLETE,INCOMPLETE,TRUE,TRUE,
BR-006-T02,BR-006,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-006-T03,BR-006,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-006-T04,BR-006,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-007-T01,BR-007,Branched,DEFINITE,DEFINITE,UNSOUND,UNSOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-007-T02,BR-007,Branched,DEFINITE,DEFINITE,SOUND,SOUND,INCOMPLETE,INCOMPLETE,TRUE,TRUE,
BR-007-T03,BR-007,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-007-T04,BR-007,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-008-T01,BR-008,Branched,DEFINITE,DEFINITE,UNSOUND,UNSOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-008-T02,BR-008,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-008-T03,BR-008,Branched,DEFINITE,DEFINITE,SOUND,SOUND,INCOMPLETE,INCOMPLETE,TRUE,TRUE,
BR-008-T04,BR-008,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-009-T01,BR-009,Branched,DEFINITE,DEFINITE,UNSOUND,UNSOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-009-T02,BR-009,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-009-T03,BR-009,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-009-T04,BR-009,Branched,DEFINITE,DEFINITE,SOUND,SOUND,INCOMPLETE,INCOMPLETE,TRUE,TRUE,
BR-010-T01,BR-010,Branched,DEFINITE,DEFINITE,UNSOUND,UNSOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-010-T02,BR-010,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-010-T03,BR-010,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-010-T04,BR-010,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-011-T01,BR-011,Branched,DEFINITE,DEFINITE,UNSOUND,UNSOUND,INCOMPLETE,INCOMPLETE,TRUE,TRUE,
BR-011-T02,BR-011,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-011-T03,BR-011,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-011-T04,BR-011,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-012-T01,BR-012,Branched,DEFINITE,DEFINITE,UNSOUND,UNSOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-012-T02,BR-012,Branched,DEFINITE,DEFINITE,SOUND,SOUND,INCOMPLETE,INCOMPLETE,TRUE,TRUE,
BR-012-T03,BR-012,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-012-T04,BR-012,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-013-T01,BR-013,Branched,DEFINITE,DEFINITE,UNSOUND,UNSOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-013-T02,BR-013,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-013-T03,BR-013,Branched,DEFINITE,DEFINITE,SOUND,SOUND,INCOMPLETE,INCOMPLETE,TRUE,TRUE,
BR-013-T04,BR-013,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-014-T01,BR-014,Branched,DEFINITE,DEFINITE,UNSOUND,UNSOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-014-T02,BR-014,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-014-T03,BR-014,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-014-T04,BR-014,Branched,DEFINITE,DEFINITE,SOUND,SOUND,INCOMPLETE,INCOMPLETE,TRUE,TRUE,
BR-015-T01,BR-015,Branched,DEFINITE,DEFINITE,UNSOUND,UNSOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-015-T02,BR-015,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-015-T03,BR-015,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-015-T04,BR-015,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
