task_id,program_id,category,scenario_index
BR-001-T01,BR-001,Branched,1
BR-001-T02,BR-001,Branched,2
BR-001-T03,BR-001,Branched,3
BR-001-T04,BR-001,Branched,4
BR-002-T01,BR-002,Branched,1
BR-002-T02,BR-002,Branched,2
BR-002-T03,BR-002,Branched,3
BR-002-T04,BR-002,Branched,4
BR-003-T01,BR-003,Branched,1
BR-003-T02,BR-003,Branched,2
BR-003-T03,BR-003,Branched,3
BR-003-T04,BR-003,Branched,4
BR-004-T01,BR-004,Branched,1
BR-004-T02,BR-004,Branched,2
BR-004-T03,BR-004,Branched,3
BR-004-T04,BR-004,Branched,4
BR-005-T01,BR-005,Branched,1
BR-005-T02,BR-005,Branched,2
BR-005-T03,BR-005,Branched,3
BR-005-T04,BR-005,Branched,4
BR-006-T01,BR-006,Branched,1
BR-006-T02,BR-006,Branched,2
BR-006-T03,BR-006,Branched,3
BR-006-T04,BR-006,Branched,4
BR-007-T01,BR-007,Branched,1
BR-007-T02,BR-007,Branched,2
BR-007-T03,BR-007,Branched,3
BR-007-T04,BR-007,Branched,4
BR-008-T01,BR-008,Branched,1
BR-008-T02,BR-008,Branched,2
BR-008-T03,BR-008,Branched,3
BR-008-T04,BR-008,Branched,4
BR-009-T01,BR-009,Branched,1
BR-009-T02,BR-009,Branched,2
BR-009-T03,BR-009,Branched,3
BR-009-T04,BR-009,Branched,4
BR-010-T01,BR-010,Branched,1
BR-010-T02,BR-010,Branched,2
BR-010-T03,BR-010,Branched,3
BR-010-T04,BR-010,Branched,4
BR-011-T01,BR-011,Branched,1
BR-011-T02,BR-011,Branched,2
BR-011-T03,BR-011,Branched,3
BR-011-T04,BR-011,Branched,4
BR-012-T01,BR-012,Branched,1
BR-012-T02,BR-012,Branched,2
BR-012-T03,BR-012,Branched,3
BR-012-T04,BR-012,Branched,4
BR-013-T01,BR-013,Branched,1
BR-013-T02,BR-013,Branched,2
BR-013-T03,BR-013,Branched,3
BR-013-T04,BR-013,Branched,4
BR-014-T01,BR-014,Branched,1
BR-014-T02,BR-014,Branched,2
BR-014-T03,BR-014,Branched,3
BR-014-T04,BR-014,Branched,4
BR-015-T01,BR-015,Branched,1
BR-015-T02,BR-015,Branched,2
BR-015-T03,BR-015,Branched,3
BR-015-T04,BR-015,Branched,4
BR-016-T01,BR-016,Branched,1
BR-016-T02,BR-016,Branched,2
BR-016-T03,BR-016,Branched,3
BR-016-T04,BR-016,Branched,4
BR-017-T01,BR-017,Branched,1
BR-017-T02,BR-017,Branched,2
BR-017-T03,BR-017,Branched,3
BR-017-T04,BR-017,Branched,4
BR-018-T01,BR-018,Branched,1
BR-018-T02,BR-018,Branched,2
BR-018-T03,BR-018,Branched,3
BR-018-T04,BR-018,Branched,4
BR-019-T01,BR-019,Branched,1
BR-019-T02,BR-019,Branched,2
BR-019-T03,BR-019,Branched,3
BR-019-T04,BR-019,Branched,4
BR-020-T01,BR-020,Branched,1
BR-020-T02,BR-020,Branched,2
BR-020-T03,BR-020,Branched,3
BR-020-T04,BR-020,Branched,4
BR-021-T01,BR-021,Branched,1
BR-021-T02,BR-021,Branched,2
BR-021-T03,BR-021,Branched,3
BR-021-T04,BR-021,Branched,4
BR-022-T01,BR-022,Branched,1
BR-022-T02,BR-022,Branched,2
BR-022-T03,BR-022,Branched,3
BR-022-T04,BR-022,Branched,4
BR-023-T01,BR-023,Branched,1
BR-023-T02,BR-023,Branched,2
BR-023-T03,BR-023,Branched,3
BR-023-T04,BR-023,Branched,4
BR-024-T01,BR-024,Branched,1
BR-024-T02,BR-024,Branched,2
BR-024-T03,BR-024,Branched,3
BR-024-T04,BR-024,Branched,4
BR-025-T01,BR-025,Branched,1
BR-025-T02,BR-025,Branched,2
BR-025-T03,BR-025,Branched,3
BR-025-T04,BR-025,Branched,4
BR-026-T01,BR-026,Branched,1
BR-026-T02,BR-026,Branched,2
BR-026-T03,BR-026,Branched,3
BR-026-T04,BR-026,Branched,4
BR-027-T01,BR-027,Branched,1
BR-027-T02,BR-027,Branched,2
BR-027-T03,BR-027,Branched,3
BR-027-T04,BR-027,Branched,4
BR-028-T01,BR-028,Branched,1
BR-028-T02,BR-028,Branched,2
BR-028-T03,BR-028,Branched,3
BR-028-T04,BR-028,Branched,4
BR-029-T01,BR-029,Branched,1
BR-029-T02,BR-029,Branched,2
BR-029-T03,BR-029,Branched,3
BR-029-T04,BR-029,Branched,4
BR-030-T01,BR-030,Branched,1
BR-030-T02,BR-030,Branched,2
BR-030-T03,BR-030,Branched,3
BR-030-T04,BR-030,Branched,4
BR-031-T01,BR-031,Branched,1
BR-031-T02,BR-031,Branched,2
BR-031-T03,BR-031,Branched,3
BR-031-T04,BR-031,Branched,4
BR-032-T01,BR-032,Branched,1
BR-032-T02,BR-032,Branched,2
BR-032-T03,BR-032,Branched,3
BR-032-T04,BR-032,Branched,4
BR-033-T01,BR-033,Branched,1
BR-033-T02,BR-033,Branched,2
BR-033-T03,BR-033,Branched,3
BR-033-T04,BR-033,Branched,4
BR-034-T01,BR-034,Branched,1
BR-034-T02,BR-034,Branched,2
BR-034-T03,BR-034,Branched,3
BR-034-T04,BR-034,Branched,4
BR-035-T01,BR-035,Branched,1
BR-035-T02,BR-035,Branched,2
BR-035-T03,BR-035,Branched,3
BR-035-T04,BR-035,Branched,4
BR-036-T01,BR-036,Branched,1
BR-036-T02,BR-036,Branched,2
BR-036-T03,BR-036,Branched,3
BR-036-T04,BR-036,Branched,4
BR-037-T01,BR-037,Branched,1
BR-037-T02,BR-037,Branched,2
BR-037-T03,BR-037,Branched,3
BR-037-T04,BR-037,Branched,4
BR-038-T01,BR-038,Branched,1
BR-038-T02,BR-038,Branched,2
BR-038-T03,BR-038,Branched,3
BR-038-T04,BR-038,Branched,4
BR-039-T01,BR-039,Branched,1
BR-039-T02,BR-039,Branched,2
BR-039-T03,BR-039,Branched,3
BR-039-T04,BR-039,Branched,4
BR-040-T01,BR-040,Branched,1
BR-040-T02,BR-040,Branched,2
BR-040-T03,BR-040,Branched,3
BR-041-T01,BR-041,Branched,1
BR-041-T02,BR-041,Branched,2
BR-041-T03,BR-041,Branched,3
BR-042-T01,BR-042,Branched,1
BR-042-T02,BR-042,Branched,2
BR-042-T03,BR-042,Branched,3
BR-043-T01,BR-043,Branched,1
BR-043-T02,BR-043,Branched,2
BR-043-T03,BR-043,Branched,3
BR-044-T01,BR-044,Branched,1
BR-044-T02,BR-044,Branched,2
BR-044-T03,BR-044,Branched,3
BR-045-T01,BR-045,Branched,1
BR-045-T02,BR-045,Branched,2
BR-045-T03,BR-045,Branched,3
BR-046-T01,BR-046,Branched,1
BR-046-T02,BR-046,Branched,2
BR-046-T03,BR-046,Branched,3
BR-047-T01,BR-047,Branched,1
BR-047-T02,BR-047,Branched,2
BR-047-T03,BR-047,Branched,3
BR-048-T01,BR-048,Branched,1
BR-048-T02,BR-048,Branched,2
BR-048-T03,BR-048,Branched,3
BR-049-T01,BR-049,Branched,1
BR-049-T02,BR-049,Branched,2
BR-049-T03,BR-049,Branched,3
BR-050-T01,BR-050,Branched,1
BR-050-T02,BR-050,Branched,2
BR-050-T03,BR-050,Branched,3
BR-051-T01,BR-051,Branched,1
BR-051-T02,BR-051,Branched,2
BR-051-T03,BR-051,Branched,3
BR-052-T01,BR-052,Branched,1
BR-052-T02,BR-052,Branched,2
BR-052-T03,BR-052,Branched,3
BR-053-T01,BR-053,Branched,1
BR-053-T02,BR-053,Branched,2
BR-053-T03,BR-053,Branched,3
BR-054-T01,BR-054,Branched,1
BR-054-T02,BR-054,Branched,2
BR-054-T03,BR-054,Branched,3
BR-055-T01,BR-055,Branched,1
BR-055-T02,BR-055,Branched,2
BR-055-T03,BR-055,Branched,3
BR-056-T01,BR-056,Branched,1
BR-056-T02,BR-056,Branched,2
BR-056-T03,BR-056,Branched,3
BR-057-T01,BR-057,Branched,1
BR-057-T02,BR-057,Branched,2
BR-057-T03,BR-057,Branched,3
BR-058-T01,BR-058,Branched,1
BR-058-T02,BR-058,Branched,2
BR-058-T03,BR-058,Branched,3
BR-059-T01,BR-059,Branched,1
BR-059-T02,BR-059,Branched,2
BR-059-T03,BR-059,Branched,3
BR-060-T01,BR-060,Branched,1
BR-060-T02,BR-060,Branched,2
BR-060-T03,BR-060,Branched,3
BR-061-T01,BR-061,Branched,1
BR-061-T02,BR-061,Branched,2
BR-061-T03,BR-061,Branched,3
BR-062-T01,BR-062,Branched,1
BR-062-T02,BR-062,Branched,2
BR-062-T03,BR-062,Branched,3
BR-063-T01,BR-063,Branched,1
BR-063-T02,BR-063,Branched,2
BR-063-T03,BR-063,Branched,3
BR-064-T01,BR-064,Branched,1
BR-064-T02,BR-064,Branched,2
BR-064-T03,BR-064,Branched,3
BR-065-T01,BR-065,Branched,1
BR-065-T02,BR-065,Branched,2
BR-065-T03,BR-065,Branched,3
BR-066-T01,BR-066,Branched,1
BR-066-T02,BR-066,Branched,2
BR-066-T03,BR-066,Branched,3
BR-067-T01,BR-067,Branched,1
BR-067-T02,BR-067,Branched,2
BR-067-T03,BR-067,Branched,3
BR-068-T01,BR-068,Branched,1
BR-068-T02,BR-068,Branched,2
BR-068-T03,BR-068,Branched,3
BR-069-T01,BR-069,Branched,1
BR-069-T02,BR-069,Branched,2
BR-069-T03,BR-069,Branched,3
BR-070-T01,BR-070,Branched,1
BR-070-T02,BR-070,Branched,2
BR-070-T03,BR-070,Branched,3
BR-071-T01,BR-071,Branched,1
BR-071-T02,BR-071,Branched,2
BR-071-T03,BR-071,Branched,3
BR-072-T01,BR-072,Branched,1
BR-072-T02,BR-072,Branched,2
BR-072-T03,BR-072,Branched,3
BR-073-T01,BR-073,Branched,1
BR-073-T02,BR-073,Branched,2
BR-073-T03,BR-073,Branched,3
BR-074-T01,BR-074,Branched,1
BR-074-T02,BR-074,Branched,2
BR-074-T03,BR-074,Branched,3
BR-075-T01,BR-075,Branched,1
BR-075-T02,BR-075,Branched,2
BR-075-T03,BR-075,Branched,3
BR-076-T01,BR-076,Branched,1
BR-076-T02,BR-076,Branched,2
BR-076-T03,BR-076,Branched,3
BR-077-T01,BR-077,Branched,1
BR-077-T02,BR-077,Branched,2
BR-077-T03,BR-077,Branched,3
BR-078-T01,BR-078,Branched,1
BR-078-T02,BR-078,Branched,2
BR-078-T03,BR-078,Branched,3
BR-079-T01,BR-079,Branched,1
BR-079-T02,BR-079,Branched,2
BR-079-T03,BR-079,Branched,3
BR-080-T01,BR-080,Branched,1
BR-080-T02,BR-080,Branched,2
BR-080-T03,BR-080,Branched,3
BR-081-T01,BR-081,Branched,1
BR-081-T02,BR-081,Branched,2
BR-081-T03,BR-081,Branched,3
BR-082-T01,BR-082,Branched,1
BR-082-T02,BR-082,Branched,2
BR-082-T03,BR-082,Branched,3
BR-083-T01,BR-083,Branched,1
BR-083-T02,BR-083,Branched,2
BR-083-T03,BR-083,Branched,3
BR-084-T01,BR-084,Branched,1
BR-084-T02,BR-084,Branched,2
BR-084-T03,BR-084,Branched,3
BR-085-T01,BR-085,Branched,1
BR-085-T02,BR-085,Branched,2
BR-085-T03,BR-085,Branched,3
BR-086-T01,BR-086,Branched,1
BR-086-T02,BR-086,Branched,2
BR-086-T03,BR-086,Branched,3
BR-087-T01,BR-087,Branched,1
BR-087-T02,BR-087,Branched,2
BR-087-T03,BR-087,Branched,3
BR-088-T01,BR-088,Branched,1
BR-088-T02,BR-088,Branched,2
BR-088-T03,BR-088,Branched,3
BR-089-T01,BR-089,Branched,1
BR-089-T02,BR-089,Branched,2
BR-089-T03,BR-089,Branched,3
BR-090-T01,BR-090,Branched,1
BR-090-T02,BR-090,Branched,2
BR-090-T03,BR-090,Branched,3
BR-091-T01,BR-091,Branched,1
BR-091-T02,BR-091,Branched,2
BR-091-T03,BR-091,Branched,3
BR-092-T01,BR-092,Branched,1
BR-092-T02,BR-092,Branched,2
BR-092-T03,BR-092,Branched,3
BR-093-T01,BR-093,Branched,1
BR-093-T02,BR-093,Branched,2
BR-093-T03,BR-093,Branched,3
BR-094-T01,BR-094,Branched,1
BR-094-T02,BR-094,Branched,2
BR-094-T03,BR-094,Branched,3
BR-095-T01,BR-095,Branched,1
BR-095-T02,BR-095,Branched,2
BR-095-T03,BR-095,Branched,3
BR-096-T01,BR-096,Branched,1
BR-096-T02,BR-096,Branched,2
BR-096-T03,BR-096,Branched,3
BR-097-T01,BR-097,Branched,1
BR-097-T02,BR-097,Branched,2
BR-097-T03,BR-097,Branched,3
BR-098-T01,BR-098,Branched,1
BR-098-T02,BR-098,Branched,2
BR-098-T03,BR-098,Branched,3
BR-099-T01,BR-099,Branched,1
BR-099-T02,BR-099,Branched,2
BR-099-T03,BR-099,Branched,3
BR-100-T01,BR-100,Branched,1
BR-100-T02,BR-100,Branched,2
BR-100-T03,BR-100,Branched,3
SQ-001-T01,SQ-001,Sequential,1
SQ-001-T02,SQ-001,Sequential,2
SQ-001-T03,SQ-001,Sequential,3
SQ-002-T01,SQ-002,Sequential,1
SQ-002-T02,SQ-002,Sequential,2
SQ-002-T03,SQ-002,Sequential,3
SQ-003-T01,SQ-003,Sequential,1
SQ-003-T02,SQ-003,Sequential,2
SQ-003-T03,SQ-003,Sequential,3
SQ-004-T01,SQ-004,Sequential,1
SQ-004-T02,SQ-004,Sequential,2
SQ-004-T03,SQ-004,Sequential,3
SQ-005-T01,SQ-005,Sequential,1
SQ-005-T02,SQ-005,Sequential,2
SQ-005-T03,SQ-005,Sequential,3
SQ-006-T01,SQ-006,Sequential,1
SQ-006-T02,SQ-006,Sequential,2
SQ-006-T03,SQ-006,Sequential,3
SQ-007-T01,SQ-007,Sequential,1
SQ-007-T02,SQ-007,Sequential,2
SQ-007-T03,SQ-007,Sequential,3
SQ-008-T01,SQ-008,Sequential,1
SQ-008-T02,SQ-008,Sequential,2
SQ-008-T03,SQ-008,Sequential,3
SQ-009-T01,SQ-009,Sequential,1
SQ-009-T02,SQ-009,Sequential,2
SQ-009-T03,SQ-009,Sequential,3
SQ-010-T01,SQ-010,Sequential,1
SQ-010-T02,SQ-010,Sequential,2
SQ-010-T03,SQ-010,Sequential,3
SQ-011-T01,SQ-011,Sequential,1
SQ-011-T02,SQ-011,Sequential,2
SQ-011-T03,SQ-011,Sequential,3
SQ-012-T01,SQ-012,Sequential,1
SQ-012-T02,SQ-012,Sequential,2
SQ-013-T01,SQ-013,Sequential,1
SQ-013-T02,SQ-013,Sequential,2
SQ-014-T01,SQ-014,Sequential,1
SQ-014-T02,SQ-014,Sequential,2
SQ-015-T01,SQ-015,Sequential,1
SQ-015-T02,SQ-015,Sequential,2
SQ-016-T01,SQ-016,Sequential,1
SQ-016-T02,SQ-016,Sequential,2
SQ-017-T01,SQ-017,Sequential,1
SQ-017-T02,SQ-017,Sequential,2
SQ-018-T01,SQ-018,Sequential,1
SQ-018-T02,SQ-018,Sequential,2
SQ-019-T01,SQ-019,Sequential,1
SQ-019-T02,SQ-019,Sequential,2
SQ-020-T01,SQ-020,Sequential,1
SQ-020-T02,SQ-020,Sequential,2
SQ-021-T01,SQ-021,Sequential,1
SQ-021-T02,SQ-021,Sequential,2
SQ-022-T01,SQ-022,Sequential,1
SQ-022-T02,SQ-022,Sequential,2
SQ-023-T01,SQ-023,Sequential,1
SQ-023-T02,SQ-023,Sequential,2
SQ-024-T01,SQ-024,Sequential,1
SQ-024-T02,SQ-024,Sequential,2
SQ-025-T01,SQ-025,Sequential,1
SQ-025-T02,SQ-025,Sequential,2
SQ-026-T01,SQ-026,Sequential,1
SQ-026-T02,SQ-026,Sequential,2
SQ-027-T01,SQ-027,Sequential,1
SQ-027-T02,SQ-027,Sequential,2
SQ-028-T01,SQ-028,Sequential,1
SQ-028-T02,SQ-028,Sequential,2
SQ-029-T01,SQ-029,Sequential,1
SQ-029-T02,SQ-029,Sequential,2
SQ-030-T01,SQ-030,Sequential,1
SQ-030-T02,SQ-030,Sequential,2
SQ-031-T01,SQ-031,Sequential,1
SQ-031-T02,SQ-031,Sequential,2
SQ-032-T01,SQ-032,Sequential,1
SQ-032-T02,SQ-032,Sequential,2
SQ-033-T01,SQ-033,Sequential,1
SQ-033-T02,SQ-033,Sequential,2
SQ-034-T01,SQ-034,Sequential,1
SQ-034-T02,SQ-034,Sequential,2
SQ-035-T01,SQ-035,Sequential,1
SQ-035-T02,SQ-035,Sequential,2
SQ-036-T01,SQ-036,Sequential,1
SQ-036-T02,SQ-036,Sequential,2
SQ-037-T01,SQ-037,Sequential,1
SQ-037-T02,SQ-037,Sequential,2
SQ-038-T01,SQ-038,Sequential,1
SQ-038-T02,SQ-038,Sequential,2
SQ-039-T01,SQ-039,Sequential,1
SQ-039-T02,SQ-039,Sequential,2
SQ-040-T01,SQ-040,Sequential,1
SQ-040-T02,SQ-040,Sequential,2
SQ-041-T01,SQ-041,Sequential,1
SQ-041-T02,SQ-041,Sequential,2
SQ-042-T01,SQ-042,Sequential,1
SQ-042-T02,SQ-042,Sequential,2
SQ-043-T01,SQ-043,Sequential,1
SQ-043-T02,SQ-043,Sequential,2
SQ-044-T01,SQ-044,Sequential,1
SQ-044-T02,SQ-044,Sequential,2
SQ-045-T01,SQ-045,Sequential,1
SQ-045-T02,SQ-045,Sequential,2
