data_status,task_id,program_id,category,original_loc,slice_loc,loc_ratio,original_executable_statements,slice_executable_statements,executable_statement_ratio,original_cyclomatic_complexity,slice_cyclomatic_complexity,cyclomatic_complexity_ratio
SYNTHETIC_ILLUSTRATIVE,BR-001-T01,BR-001,Branched,9322,4156,0.445827,9842,3441,0.349624,4199,1517,0.361276
SYNTHETIC_ILLUSTRATIVE,BR-001-T02,BR-001,Branched,9322,4254,0.456340,9842,2694,0.273725,4199,1398,0.332936
SYNTHETIC_ILLUSTRATIVE,BR-001-T03,BR-001,Branched,9322,4199,0.450440,9842,3039,0.308779,4199,1116,0.265778
SYNTHETIC_ILLUSTRATIVE,BR-001-T04,BR-001,Branched,9322,4612,0.494744,9842,3683,0.374213,4199,1526,0.363420
SYNTHETIC_ILLUSTRATIVE,BR-002-T01,BR-002,Branched,8813,4737,0.537501,7183,2178,0.303216,4011,4011,1.000000
SYNTHETIC_ILLUSTRATIVE,BR-002-T02,BR-002,Branched,8813,4182,0.474526,7183,2583,0.359599,4011,4011,1.000000
SYNTHETIC_ILLUSTRATIVE,BR-002-T03,BR-002,Branched,8813,4785,0.542948,7183,2158,0.300432,4011,1451,0.361755
SYNTHETIC_ILLUSTRATIVE,BR-002-T04,BR-002,Branched,8813,4526,0.513560,7183,3087,0.429765,4011,1281,0.319372
SYNTHETIC_ILLUSTRATIVE,BR-003-T01,BR-003,Branched,10986,4351,0.396050,8340,2336,0.280096,5175,2240,0.432850
SYNTHETIC_ILLUSTRATIVE,BR-003-T02,BR-003,Branched,10986,4987,0.453941,8340,3098,0.371463,5175,1418,0.274010
SYNTHETIC_ILLUSTRATIVE,BR-003-T03,BR-003,Branched,10986,5453,0.496359,8340,3688,0.442206,5175,1612,0.311498
SYNTHETIC_ILLUSTRATIVE,BR-003-T04,BR-003,Branched,10986,4797,0.436647,8340,2915,0.349520,5175,1360,0.262802
SYNTHETIC_ILLUSTRATIVE,BR-004-T01,BR-004,Branched,9766,5033,0.515359,6357,2833,0.445650,6047,2266,0.374731
SYNTHETIC_ILLUSTRATIVE,BR-004-T02,BR-004,Branched,9766,4202,0.430268,6357,1824,0.286928,6047,1944,0.321482
SYNTHETIC_ILLUSTRATIVE,BR-004-T03,BR-004,Branched,9766,3950,0.404464,6357,2425,0.381469,6047,1830,0.302629
SYNTHETIC_ILLUSTRATIVE,BR-004-T04,BR-004,Branched,9766,4437,0.454331,6357,1881,0.295894,6047,1915,0.316686
