data_status,task_id,program_id,category,repetition,original_dynamic_ms,slice_dynamic_ms,dynamic_ratio,original_path_derivation_ms,slice_path_derivation_ms,path_derivation_ratio,original_smt_ms,slice_smt_ms,smt_ratio,original_other_ms,slice_slicing_ms,slice_other_ms,original_total_ms,slice_total_ms,total_ratio
SYNTHETIC_ILLUSTRATIVE,BR-001-T01,BR-001,Branched,1,42.000000,27.006000,0.643000,55.000000,39.820487,0.724009,38.000000,24.890673,0.655018,47.250000,4.556250,29.472639,182.250000,125.746049,0.689965
SYNTHETIC_ILLUSTRATIVE,BR-001-T01,BR-001,Branched,2,43.680000,28.086240,0.643000,57.200000,41.413306,0.724009,39.520000,25.886299,0.655018,49.140000,4.738500,30.651545,189.540000,130.775891,0.689965
SYNTHETIC_ILLUSTRATIVE,BR-001-T01,BR-001,Branched,3,41.580000,26.735940,0.643000,54.450000,39.422282,0.724009,37.620000,24.641766,0.655018,46.777500,4.510688,29.177913,180.427500,124.488588,0.689965
SYNTHETIC_ILLUSTRATIVE,BR-001-T01,BR-001,Branched,4,43.260000,27.816180,0.643000,56.650000,41.015101,0.724009,39.140000,25.637393,0.655018,48.667500,4.692938,30.356819,187.717500,129.518430,0.689965
SYNTHETIC_ILLUSTRATIVE,BR-001-T01,BR-001,Branched,5,41.160000,26.465880,0.643000,53.900000,39.024077,0.724009,37.240000,24.392859,0.655018,46.305000,4.465125,28.883187,178.605000,123.231128,0.689965
SYNTHETIC_ILLUSTRATIVE,BR-001-T01,BR-001,Branched,6,42.840000,27.546120,0.643000,56.100000,40.616896,0.724009,38.760000,25.388486,0.655018,48.195000,4.647375,30.062092,185.895000,128.260970,0.689965
SYNTHETIC_ILLUSTRATIVE,BR-001-T01,BR-001,Branched,7,40.740000,26.195820,0.643000,53.350000,38.625872,0.724009,36.860000,24.143952,0.655018,45.832500,4.419562,28.588460,176.782500,121.973667,0.689965
SYNTHETIC_ILLUSTRATIVE,BR-001-T01,BR-001,Branched,8,42.420000,27.276060,0.643000,55.550000,40.218692,0.724009,38.380000,25.139579,0.655018,47.722500,4.601812,29.767366,184.072500,127.003509,0.689965
SYNTHETIC_ILLUSTRATIVE,BR-001-T01,BR-001,Branched,9,40.320000,25.925760,0.643000,52.800000,38.227667,0.724009,36.480000,23.895046,0.655018,45.360000,4.374000,28.293734,174.960000,120.716207,0.689965
SYNTHETIC_ILLUSTRATIVE,BR-001-T01,BR-001,Branched,10,42.000000,27.006000,0.643000,55.000000,39.820487,0.724009,38.000000,24.890673,0.655018,47.250000,4.556250,29.472639,182.250000,125.746049,0.689965
